country,region,year,earthquakeDeaths
Uzbekistan,Asia,1974,0
Vanuatu,Asia,1974,0
Venezuela,Americas,1974,0
Yemen,Asia,1974,0
Afghanistan,Asia,1975,0
Albania,Europe,1975,0
Algeria,Africa,1975,0
Argentina,Americas,1975,0
Armenia,Europe,1975,0
Australia,Asia,1975,0
Austria,Europe,1975,0
Azerbaijan,Europe,1975,0
Bangladesh,Asia,1975,0
Barbados,Americas,1975,0
Belgium,Europe,1975,0
Bolivia,Americas,1975,0
Brazil,Americas,1975,0
Bulgaria,Europe,1975,0
Burundi,Africa,1975,0
Chile,Americas,1975,0
China,Asia,1975,10000
Colombia,Americas,1975,0
"Congo, Dem. Rep.",Africa,1975,0
"Congo, Rep.",Africa,1975,0
Costa Rica,Americas,1975,0
Croatia,Europe,1975,0
Cuba,Americas,1975,0
Cyprus,Europe,1975,0
Dominica,Americas,1975,0
Dominican Republic,Americas,1975,0
Ecuador,Americas,1975,0
Egypt,Africa,1975,0
El Salvador,Americas,1975,0
Fiji,Asia,1975,0
Georgia,Europe,1975,0
Germany,Europe,1975,0
Greece,Europe,1975,0
Guatemala,Americas,1975,0
Guinea,Africa,1975,0
Honduras,Americas,1975,0
Iceland,Europe,1975,0
India,Asia,1975,47
Indonesia,Asia,1975,0
Iran,Asia,1975,0
Iraq,Asia,1975,0
Italy,Europe,1975,0
Japan,Asia,1975,0
Kazakhstan,Asia,1975,0
Kenya,Africa,1975,0
Kyrgyz Republic,Asia,1975,0
Malawi,Africa,1975,0
Mexico,Americas,1975,0
Morocco,Africa,1975,0
Mozambique,Africa,1975,0
Myanmar,Asia,1975,0
Nepal,Asia,1975,0
Netherlands,Europe,1975,0
New Zealand,Asia,1975,0
Nicaragua,Americas,1975,0
North Korea,Asia,1975,0
Pakistan,Asia,1975,0
Panama,Americas,1975,0
Papua New Guinea,Asia,1975,0
Peru,Americas,1975,0
Philippines,Asia,1975,0
Poland,Europe,1975,0
Romania,Europe,1975,0
Russia,Europe,1975,0
Rwanda,Africa,1975,0
Slovenia,Europe,1975,0
Solomon Islands,Asia,1975,0
South Africa,Africa,1975,0
Spain,Europe,1975,0
St. Lucia,Americas,1975,0
Sudan,Africa,1975,0
Tajikistan,Asia,1975,0
Tanzania,Africa,1975,0
Thailand,Asia,1975,0
Tonga,Asia,1975,0
Trinidad and Tobago,Americas,1975,0
Turkey,Europe,1975,2380
Turkmenistan,Asia,1975,0
Uganda,Africa,1975,0
United Kingdom,Europe,1975,0
United States,Americas,1975,0
Uzbekistan,Asia,1975,0
Vanuatu,Asia,1975,0
Venezuela,Americas,1975,0
Yemen,Asia,1975,0
Afghanistan,Asia,1976,50
Albania,Europe,1976,0
Algeria,Africa,1976,0
Argentina,Americas,1976,0
Armenia,Europe,1976,0
Australia,Asia,1976,0
Austria,Europe,1976,0
Azerbaijan,Europe,1976,0
Bangladesh,Asia,1976,0
Barbados,Americas,1976,0
Belgium,Europe,1976,0
Bolivia,Americas,1976,0
Brazil,Americas,1976,0
Bulgaria,Europe,1976,0
Burundi,Africa,1976,0
Chile,Americas,1976,0
China,Asia,1976,242000
Colombia,Americas,1976,0
"Congo, Dem. Rep.",Africa,1976,0
"Congo, Rep.",Africa,1976,0
Costa Rica,Americas,1976,0
Croatia,Europe,1976,0
Cuba,Americas,1976,1
Cyprus,Europe,1976,0
Dominica,Americas,1976,0
Dominican Republic,Americas,1976,0
Ecuador,Americas,1976,20
Egypt,Africa,1976,0
El Salvador,Americas,1976,0
Fiji,Asia,1976,0
Georgia,Europe,1976,0
Germany,Europe,1976,0
Greece,Europe,1976,0
Guatemala,Americas,1976,23000
Guinea,Africa,1976,0
Honduras,Americas,1976,0
Iceland,Europe,1976,1
India,Asia,1976,0
Indonesia,Asia,1976,1130
Iran,Asia,1976,16
Iraq,Asia,1976,0
Italy,Europe,1976,934
Japan,Asia,1976,0
Kazakhstan,Asia,1976,0
Kenya,Africa,1976,0
Kyrgyz Republic,Asia,1976,0
Malawi,Africa,1976,0
Mexico,Americas,1976,0
Morocco,Africa,1976,0
Mozambique,Africa,1976,0
Myanmar,Asia,1976,0
Nepal,Asia,1976,0
Netherlands,Europe,1976,0
New Zealand,Asia,1976,0
Nicaragua,Americas,1976,0
North Korea,Asia,1976,0
Pakistan,Asia,1976,0
Panama,Americas,1976,0
Papua New Guinea,Asia,1976,0
Peru,Americas,1976,0
Philippines,Asia,1976,6000
Poland,Europe,1976,0
Romania,Europe,1976,0
Russia,Europe,1976,0
Rwanda,Africa,1976,0
Slovenia,Europe,1976,0
Solomon Islands,Asia,1976,0
South Africa,Africa,1976,0
Spain,Europe,1976,0
St. Lucia,Americas,1976,0
Sudan,Africa,1976,0
Tajikistan,Asia,1976,0
Tanzania,Africa,1976,0
Thailand,Asia,1976,0
Tonga,Asia,1976,0
Trinidad and Tobago,Americas,1976,0
Turkey,Europe,1976,3850
Turkmenistan,Asia,1976,0
Uganda,Africa,1976,0
United Kingdom,Europe,1976,0
United States,Americas,1976,0
Uzbekistan,Asia,1976,0
Vanuatu,Asia,1976,0
Venezuela,Americas,1976,0
Yemen,Asia,1976,0
Afghanistan,Asia,1977,0
Albania,Europe,1977,0
Algeria,Africa,1977,0
Argentina,Americas,1977,70
Armenia,Europe,1977,0
Australia,Asia,1977,0
Austria,Europe,1977,0
Azerbaijan,Europe,1977,0
Bangladesh,Asia,1977,0
Barbados,Americas,1977,0
